SE,NewKPI1,NewKPI2,NewKPI3,KPI0012,KPI0017,KPI0068,KPI0077,KPI0116,KPI3226,TS,SI,IT,TSI,MarketArea,ReportYearNumber
1.187921838,214.6285242,99.58509085,103.3410528,0.983556906,174.395285,108.3333333,132940.6667,102.3333333,0.089600157,21373.80108,10291.22813,22179.93765,2208791.106,Ford - Southeast,2009
1.269076305,222.8,83.55,36.89,0.873257874,222.790595,118.5833333,190306.5833,58.55869074,0.086757221,18614.94,3082.1595,8219.092,686705.1366,Ford - Southeast,2010
0.975362986,341.1041367,72.1618687,57.09783877,0.918725453,225.0253752,12,20413.41667,71.7260274,0.161696752,24614.71193,4120.286744,19476.309,1405446.853,Ford - Great Lakes,2008
0.48149684,529.2007264,266.0847651,77.30319534,0.914369149,201.9790071,11.83333333,18168.08333,73.83544304,0.129898676,140812.251,20569.20257,40908.90713,10885236.94,Ford - Great Lakes,2009
0.75,224.96,74.66,29.33,0.90615266,227.8755114,13.33333333,20018.08333,64.63157895,0.1246305,16795.5136,2189.7778,6598.0768,492612.4139,Ford - Great Lakes,2010
1.258823529,297.47,144.81,36.8,0.766684312,307.5851279,19.5,30733.16667,92.96478873,0.111991408,43076.6307,5329.008,10946.896,1585220.01,Ford - Great Lakes,2011
1.068807339,260.64,95.44,24.22,0.96780228,347.4725275,20.5,31042.58333,82.13333333,0.110991743,24875.4816,2311.5568,6312.7008,602484.1644,Ford - Great Lakes,2012
0.967090602,672.6971917,288.299272,55.67518036,0.660034879,205.6373084,45.75,103871.6667,52.18888889,0.129350084,193938.1106,16051.11397,37452.53748,10797539.29,Ford - Central,2008
0.758604326,588.1929686,142.8131837,59.67716127,0.600834217,225.7479123,44.58333333,104994.0833,100.9429348,0.12864077,84001.71048,8522.685395,35101.68665,5012983.623,Ford - Central,2009
1.159774436,456.3,128.98,53.2,0.515702098,263.0461894,53.83333333,140373.75,79.84753363,0.124025078,58853.574,6861.736,24275.16,3131010.137,Ford - Central,2010
1.183774834,415.96,90.83,59.18,0.438035254,283.2685531,59.75,167378.0833,69.58666667,0.130604556,37781.6468,5375.3194,24616.5128,2235917.858,Ford - Central,2011
0.854568855,412.41,93.48,70.64,0.466490099,311.3638412,55.66666667,155272.8333,102.6666667,0.145259078,38552.0868,6603.4272,29132.6424,2723319.412,Ford - Central,2012
2.472343051,588.2234104,186.0538193,50.73948873,0.677954456,558.3924794,94.91666667,203083.5,49.67741935,0.183563105,109441.2121,9440.275668,29846.1551,5552991.148,Ford - Great Lakes,2008
0.054193516,67.83287544,197.7774849,92.10620296,0.595126757,434.5570619,98.08333333,242838.25,45.35227273,0.189516683,13415.8155,18216.53317,6247.828593,1235679.825,Ford - Great Lakes,2009
2.04964539,528.2,197.77,37.11,0.526873361,486.6844702,120,294480,73.11447368,0.170375122,104462.114,7339.2447,19601.502,3876589.051,Ford - Great Lakes,2010
1.88317757,482.39,118.59,47.95,0.484183503,515.8273381,135.5833333,364274,41.00110375,0.158615725,57206.6301,5686.3905,23130.6005,2743057.913,Ford - Great Lakes,2011
1.894859813,540.86,117.69,32.92,0.48881705,533.0601452,135.4166667,360479.4167,68.56799037,0.160699433,63653.8134,3874.3548,17805.1112,2095483.537,Ford - Great Lakes,2012
1.049985648,-106.1150548,84.11730605,81.16641871,0.77405776,567.2118694,5.333333333,7129.666667,34.22222222,0.166165629,-8926.112541,6827.500484,-8612.978969,-724500.588,Ford - Great Lakes,2008
1.849380154,-225.1764573,78.41290436,37.26099735,0.802769273,597.9816576,5.083333333,7176.833333,68.22222222,0.175696108,-17656.74001,2921.743022,-8390.299379,-657907.7427,Ford - Great Lakes,2009
1.085106383,26.34,54.36,11.75,0.767191204,886.3144876,8.083333333,11749.41667,31.75862069,0.152502924,1431.8424,638.73,309.495,16824.1482,Ford - Great Lakes,2010
1.772727273,36.59,134.89,106.0061583,0.705769738,875.4378749,10.83333333,16599.16667,37.43902439,0.149889747,4935.6251,14299.17069,3878.765332,523206.6557,Ford - Great Lakes,2011
1.245283019,108.17,110.19,13.25,0.701816132,1061.862385,11.08333333,17529.83333,52.9375,0.160104411,11919.2523,1460.0175,1433.2525,157930.093,Ford - Great Lakes,2012
2.139338729,99.82089047,56.56125182,144.2275911,0.943234518,282.3733575,26.33333333,52087.75,93.38297872,0.145673772,5645.994523,8157.6931,14396.92657,814308.1894,Ford - Northeast,2008
0.603863458,87.32903341,130.2008952,78.6046138,0.897377418,299.092942,27,58100,107.7451923,0.14269464,11370.31833,10234.39108,6864.464945,893759.4809,Ford - Northeast,2009
1.243243243,281.95,128.24,83.25,0.864825831,291.6778028,36.08333333,72820.16667,62.55485893,0.118400248,36157.268,10675.98,23472.3375,3010092.561,Ford - Northeast,2010
1.239316239,291.76,113,91.25,0.835847562,338.1721769,36.83333333,75233.66667,74.4551495,0.120705431,32968.88,10311.25,26623.1,3008410.3,Ford - Northeast,2011
0.901719902,271.87,91.47,101.75,0.759329456,317.7958438,31.75,65125.66667,80.18181818,0.122994261,24867.9489,9307.0725,27662.7725,2530313.801,Ford - Northeast,2012
1.057695501,464.9530206,214.8055535,23.72673148,0.957433368,815.9627127,69.16666667,126949.1667,115.7583893,0.141628694,99874.49094,5096.633688,11031.81547,2369695.228,Ford - Central,2008
1.481421648,305.17,175.72,32.58,0.847202321,872.2925697,77,162354.5833,87.31702899,0.132472309,53624.4724,5724.9576,9942.4386,1747085.311,Ford - Central,2010
1.116429495,393.22,144.02,45.47,0.95241934,669.0798912,71.66666667,157176.25,122.584,0.134354811,56631.5444,6548.5894,17879.7134,2575036.324,Ford - Central,2012
